Year,Month,Day,max_t,min_t
2013,10,16,10.0,1.5
2013,10,17,10.8,0.8
2013,10,18,,
2013,10,19,11.0,6.5
2013,10,20,8.8,5.9
2013,10,21,11.5,5.0
2013,10,22,7.2,3.7
2013,10,23,9.6,2.2
2013,10,24,11.2,3.7
2013,10,25,9.0,2.0
2013,10,26,9.0,0.4
2013,10,27,,
2013,10,28,10.8,3.1
2013,10,29,7.6,1.2
2013,10,30,4.6,-2.6
2013,10,31,5.3,0.2
2013,11,1,17.1,1.0
2013,11,2,17.1,10.2
2013,11,3,10.2,2.3
2013,11,4,3.9,-1.7
2013,11,5,0.6,-2.5
2013,11,6,5.2,-2.3
2013,11,7,14.4,4.9
2013,11,8,15.6,11.6
2013,11,9,6.0,0.1
2013,11,10,3.5,-2.3
2013,11,11,5.8,-0.3
2013,11,12,8.8,0.3
2013,11,13,9.6,-0.6
2013,11,14,0.7,-1.4
2013,11,15,5.9,-0.3
2013,11,16,8.3,1.6
2013,11,17,8.5,4.6
2013,11,18,7.0,3.7
2013,11,19,6.0,4.1
2013,11,20,7.7,0.2
2013,11,21,4.2,-0.6
2013,11,22,3.3,1.1
2013,11,23,2.8,0.8
2013,11,24,3.5,-0.5
2013,11,25,0.5,-2.6
2013,11,26,1.4,-0.7
2013,11,27,7.3,1.0
2013,11,28,10.1,3.6
2013,11,29,4.3,-0.8
2013,11,30,-0.4,-10.0
2013,12,1,-2.0,-10.7
2013,12,2,3.4,-5.7
2013,12,3,9.2,3.4
2013,12,4,11.8,2.0
2013,12,5,2.7,-0.6
2013,12,6,9.1,-2.3
2013,12,7,6.3,-1.9
2013,12,8,-0.4,-7.4
2013,12,9,-3.4,-7.8
2013,12,10,0.4,-5.1
2013,12,11,-1.1,-9.0
2013,12,12,-6.0,-11.3
2013,12,13,-7.4,-12.9
2013,12,14,-8.0,-11.2
2013,12,15,-4.4,-9.5
2013,12,16,3.1,-3.2
2013,12,17,-2.9,-10.7
2013,12,18,3.8,-12.5
2013,12,19,5.3,-7.1
2013,12,20,-3.7,-7.7
2013,12,21,-0.2,-7.8
2013,12,22,0.6,-10.8
2013,12,23,-8.6,-11.4
2013,12,24,-4.4,-8.5
2013,12,25,-5.2,-11.6
2013,12,26,-5.2,-12.3
2013,12,27,1.9,-11.8
2013,12,28,-0.6,-6.8
2013,12,29,-0.7,-14.2
2013,12,30,-1.5,-13.4
2013,12,31,-2.3,-10.4
